https://docs.google.com/spreadsheets/d/1WKfDrVcWOskZSHPhmuD6yrZ6Npr1AynOsBh7UwELvBg/edit?gid=61091455#gid=61091455,Property,Occupied ,Collections %,Month Outstanding,Total Outstanding,Eviction Risk,Lease Health,,,,
11/4/2025,,,,,,,,,,Variables,
Sarah,,92.9%,58.5%,"$26,431.14","$30,548.40",0,57.65%,,,Lease-out Goal,60
Karen,,76.5%,54.8%,"$17,420.99","$22,403.99",0,56.41%,,,,
Sam,,91.1%,60.7%,"$36,822.34","$48,888.13",1,44.86%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,100.0%,75.4%,$967.00,$967.00,0,75.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,65.1%,$950.00,$950.00,0,50.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,100.0%,40.6%,"$2,125.00","$2,662.50",0,60.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,31.0%,$966.00,"$1,212.01",0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,50.0%,"$1,200.00","$1,200.00",0,100.00%,,,,
Sarah,Glen Oaks ,88.9%,59.9%,"$11,525.83","$14,294.02",0,50.00%,,,,
Karen,Hilltop Townhomes ,76.5%,54.8%,"$17,420.99","$22,403.99",0,56.41%,,,,
Sam,Maple Manor Apartments                                                                                                                                             ,87.5%,33.0%,"$20,553.78","$26,256.37",1,31.43%,,,,
Sam,Normandy Apartments,90.9%,72.0%,"$3,863.52","$4,383.52",0,60.00%,,,,
Sam,Oakwood Gardens ,94.0%,77.8%,"$12,405.04","$18,248.24",0,48.94%,,,,
Sarah,Pioneer Apartments ,100.0%,58.7%,"$8,697.31","$9,262.87",0,60.00%,,,,
,,88.7%,61.7%,"$80,674.47","$101,840.52",1,51.82%,,,,
11/10/2025,,,,,,,,,,,
Sarah,,92.9%,88.1%,"$7,640.76","$10,885.83",0,57.65%,,,,
